Education,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Marital_Status_Grouped,Marital_Merged_Couples,Marital_Merged_Single_Household,Marital_Merged_Unknown,Age,Total_Children,Total_Household_Size,Total_Spending,Loyalty_Months,Campaign_Response_Rate,Shopping_Frequency
2,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,Single_Household,0,1,0,67,0,1,1617,152,0.0,25
2,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,70,2,3,27,134,0.0,6
2,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,Couples,1,0,0,59,0,2,776,140,0.0,21
2,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,Couples,1,0,0,40,1,3,53,135,0.0,8
4,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,Couples,1,0,0,43,1,3,422,135,0.0,19
3,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,Couples,1,0,0,57,1,3,716,140,0.0,22
2,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,53,1,2,590,150,0.0,21
4,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,Couples,1,0,0,39,1,3,169,144,0.0,10
4,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,Couples,1,0,0,50,1,3,46,143,0.0,6
4,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,Couples,1,0,0,74,2,4,49,134,0.2,2
1,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,Couples,1,0,0,48,0,2,61,150,0.0,6
2,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,65,0,1,1102,137,0.0,16
3,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,72,2,3,310,137,0.0,15
2,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,Couples,1,0,0,37,0,2,46,151,0.0,5
4,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,Single_Household,0,1,0,78,0,1,1315,149,0.4,26
2,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,Couples,1,0,0,44,2,4,96,148,0.0,9
2,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,Couples,1,0,0,78,0,2,317,152,0.0,13
3,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,Couples,1,0,0,75,1,3,1782,145,0.2,26
0,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,39,1,2,133,150,0.0,8
2,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,Couples,1,0,0,42,0,2,316,153,0.0,12
2,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,Couples,1,0,0,45,1,3,1730,148,0.0,43
4,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,Couples,1,0,0,75,1,3,972,148,0.2,17
4,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,Couples,1,0,0,70,1,3,544,136,0.0,20
2,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,Couples,1,0,0,73,1,3,444,146,0.0,20
2,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,55,0,1,75,148,0.0,8
2,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,Couples,1,0,0,48,2,4,257,143,0.0,14
2,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,Couples,1,0,0,35,1,3,131,143,0.0,9
4,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,Couples,1,0,0,59,0,2,1672,137,0.2,26
3,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,35,0,1,30,131,0.0,8
3,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,Couples,1,0,0,61,0,2,318,144,0.0,11
2,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,Couples,1,0,0,54,1,3,120,151,0.2,9
4,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,Single_Household,0,1,0,72,2,3,302,150,0.0,17
3,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,Couples,1,0,0,78,0,2,1196,146,0.0,18
3,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,73,2,3,65,140,0.0,6
4,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,Couples,1,0,0,54,1,3,913,136,0.0,28
0,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,Couples,1,0,0,48,1,3,81,140,0.0,9
2,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,51,1,2,67,135,0.0,7
4,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,Single_Household,0,1,0,81,0,1,902,147,0.2,24
2,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,Couples,1,0,0,44,1,3,1395,144,0.0,21
3,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,Couples,1,0,0,39,1,3,53,146,0.0,7
2,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,Couples,1,0,0,67,1,3,22,148,0.0,4
3,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,Couples,1,0,0,49,1,3,31,139,0.0,8
2,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,48,0,1,984,130,0.0,16
0,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,Couples,1,0,0,28,0,2,122,150,0.0,10
