ID,Total_Spending,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total_Purchase_Num,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Discount_Dependency,Income,Age,Education,Marital_Merged_Couples,Marital_Merged_Single_Household,Total_Household_Size,Total_Children,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Campaign_Response_Rate,Response,Complain,Loyalty_Months,Recency,NumWebVisitsMonth,Cluster
5524,1617,635,88,546,172,88,88,22,8,10,4,0.1363636363636363,58138.0,67,2,0,1,1,0,0,0,0,0,0,0.0,1,0,152,58,7,1
2174,27,11,1,6,2,1,6,4,1,1,2,0.5,46344.0,70,2,0,1,3,2,0,0,0,0,0,0.0,0,0,134,38,5,2
4141,776,426,49,127,111,21,42,20,8,2,10,0.05,71613.0,59,2,1,0,2,0,0,0,0,0,0,0.0,0,0,140,26,4,0
6182,53,11,4,20,10,3,5,6,2,0,4,0.3333333333333333,26646.0,40,2,1,0,3,1,0,0,0,0,0,0.0,0,0,135,26,6,3
5324,422,173,43,118,46,27,15,14,5,3,6,0.3571428571428571,58293.0,43,4,1,0,3,1,0,0,0,0,0,0.0,0,0,135,94,5,2
7446,716,520,42,98,0,42,14,20,6,4,10,0.1,62513.0,57,3,1,0,3,1,0,0,0,0,0,0.0,0,0,140,16,6,1
965,590,235,65,164,50,49,27,17,7,3,7,0.2352941176470588,55635.0,53,2,0,1,2,1,0,0,0,0,0,0.0,0,0,150,34,6,1
6177,169,76,10,56,3,1,23,8,4,0,4,0.25,33454.0,39,4,1,0,3,1,0,0,0,0,0,0.0,0,0,144,32,8,2
4855,46,14,0,24,3,3,2,5,3,0,2,0.2,30351.0,50,4,1,0,3,1,0,0,0,0,0,0.0,1,0,143,19,9,2
387,61,6,16,11,11,1,16,5,2,0,3,0.2,7500.0,48,0,1,0,2,0,0,0,0,0,0,0.0,0,0,150,59,8,3
2125,1102,194,61,480,225,112,30,15,3,4,8,0.0666666666666666,63033.0,65,2,0,1,1,0,0,0,0,0,0,0.0,0,0,138,82,2,0
8180,310,233,2,53,3,5,14,12,6,1,5,0.25,59354.0,72,3,0,1,3,2,0,0,0,0,0,0.0,0,0,138,53,6,2
2569,46,3,14,17,6,1,5,4,1,0,3,0.25,17323.0,37,2,1,0,2,0,0,0,0,0,0,0.0,0,0,151,38,8,3
2114,1315,1006,22,115,59,68,45,25,7,6,12,0.04,82800.0,78,4,0,1,1,0,1,0,0,0,1,0.4,1,0,149,23,3,4
9736,96,53,5,19,2,13,4,6,3,0,3,0.5,41850.0,44,2,1,0,4,2,0,0,0,0,0,0.0,0,0,148,51,8,2
4939,317,84,5,38,150,12,28,11,4,1,6,0.1818181818181818,37760.0,78,2,1,0,2,0,0,0,0,0,0,0.0,0,0,152,20,7,1
6565,1782,1012,80,498,0,16,176,24,11,4,9,0.0833333333333333,76995.0,75,3,1,0,3,1,1,0,0,0,0,0.2,0,0,145,91,5,1
2278,133,4,17,19,30,24,39,6,2,1,3,0.3333333333333333,33812.0,39,1,0,1,2,1,0,0,0,0,0,0.0,0,0,150,86,6,3
