Total_Spending,Total_Purchase_Num,Discount_Dependency,Income,Age,Education,Marital_Merged_Couples,Marital_Merged_Single_Household,Total_Household_Size,Campaign_Response_Rate,Response,Complain,Loyalty_Months,Recency,NumWebVisitsMonth,Cluster
443,14,0.1428571428571428,58116.0,68,2,1,0,3,0.0,0,0,133,38,2,0
1445,19,0.1052631578947368,64355.0,39,4,1,0,3,0.0,0,0,152,66,8,1
1065,29,0.0689655172413793,77044.0,52,2,1,0,3,0.2,0,0,138,12,4,0
137,1,0.0,6835.0,67,4,1,0,3,0.0,0,0,149,76,20,3
153,8,0.375,38175.0,40,4,1,0,3,0.0,0,0,139,6,7,2
70,5,0.2,31878.0,47,1,0,1,2,0.0,0,0,130,7,3,3
195,9,0.2222222222222222,51412.0,66,3,1,0,3,0.0,0,0,136,42,4,2
119,6,0.1666666666666666,52074.0,57,2,0,1,2,0.2,0,0,133,77,4,0
54,6,0.6666666666666666,32144.0,70,2,1,0,4,0.2,0,0,133,76,7,2
1073,25,0.04,72117.0,47,2,1,0,3,0.0,0,0,140,34,5,1
1722,14,0.2857142857142857,86358.0,58,2,0,1,3,0.0,0,0,153,78,8,1
1121,24,0.0833333333333333,77382.0,56,2,1,0,3,0.2,0,0,136,36,1,0
895,15,0.0666666666666666,79205.0,49,2,1,0,2,0.2,1,0,152,73,4,1
41,6,0.6666666666666666,22554.0,69,4,1,0,4,0.0,0,0,150,38,5,2
1635,12,0.1666666666666666,69267.0,71,2,0,1,1,0.0,1,0,152,31,7,1
904,23,0.1739130434782608,69283.0,49,4,1,0,3,0.0,0,0,131,41,5,0
564,17,0.1176470588235294,79146.0,57,2,0,1,3,0.0,0,0,132,33,6,0
265,10,0.4,42207.0,40,3,1,0,3,0.2,1,0,145,71,6,2
195,9,0.2222222222222222,49980.0,61,2,0,1,2,0.0,0,0,138,79,5,3
222,9,0.1111111111111111,46390.0,69,3,0,1,2,0.0,0,0,132,56,7,0
636,18,0.1111111111111111,45938.0,63,2,0,1,1,0.0,0,0,138,46,6,0
1564,23,0.0434782608695652,80573.0,53,3,1,0,2,0.0,0,0,151,85,2,1
240,10,0.7,47175.0,62,3,1,0,4,0.2,1,0,150,81,8,2
50,5,0.2,45057.0,45,3,1,0,3,0.0,0,0,137,80,5,2
1174,27,0.1851851851851851,67445.0,50,2,1,0,3,0.0,0,0,153,63,6,1
972,14,0.2142857142857142,58607.0,75,4,1,0,3,0.2,0,0,148,63,8,1
1736,14,0.0714285714285714,78569.0,78,2,1,0,2,0.2,1,0,134,14,1,0
1383,19,0.0526315789473684,65819.0,46,2,1,0,2,0.0,0,0,149,99,3,1
17,3,0.3333333333333333,26954.0,53,2,0,1,2,0.0,0,0,132,17,7,3
27,4,0.25,23442.0,37,2,0,1,2,0.0,0,0,148,71,7,3
310,11,0.4545454545454545,44267.0,54,2,0,1,3,0.0,0,0,146,48,9,3
1862,17,0.0,83829.0,49,2,0,1,1,0.6,1,0,139,78,1,4
1598,23,0.0434782608695652,68682.0,33,4,1,0,2,0.0,0,0,139,56,2,0
129,7,0.1428571428571428,35876.0,41,3,1,0,2,0.0,0,0,132,13,6,3
96,6,0.1666666666666666,44931.0,57,2,1,0,3,0.0,0,0,135,0,5,2
32,4,0.25,42394.0,52,3,0,1,2,0.0,0,0,133,69,7,3
530,15,0.2666666666666666,62010.0,52,4,1,0,3,0.0,0,0,150,93,5,1
39,4,0.25,32300.0,51,2,1,0,3,0.0,0,0,148,1,8,3
22,4,0.25,9255.0,35,2,0,1,2,0.0,0,0,136,91,8,3
357,13,0.4615384615384615,36715.0,53,2,1,0,3,0.0,1,0,150,16,9,3
252,11,0.4545454545454545,42586.0,69,2,1,0,4,0.0,1,0,150,7,8,2
930,23,0.0869565217391304,68117.0,77,4,0,1,2,0.2,1,0,146,80,6,1
74,6,0.1666666666666666,37155.0,35,2,1,0,3,0.0,0,0,147,51,5,3
1507,22,0.0454545454545454,73892.0,71,2,0,1,1,0.0,1,0,138,40,1,0
222,10,0.2,62499.0,45,3,1,0,3,0.0,0,0,137,0,4,2
37,5,0.4,44319.0,49,3,1,0,4,0.0,0,0,132,18,5,2
436,14,0.4285714285714285,42014.0,47,2,1,0,3,0.0,1,0,153,56,8,3
1180,24,0.2916666666666667,60474.0,45,2,0,1,2,0.0,0,0,145,25,7,1
757,20,0.1,70566.0,56,2,0,1,2,0.0,0,0,139,4,3,0
54,5,0.2,37760.0,52,3,0,1,2,0.0,0,0,141,54,6,3
146,7,0.5714285714285714,36947.0,57,4,1,0,4,0.0,0,0,153,49,9,2
189,9,0.5555555555555556,44421.0,53,2,0,1,3,0.0,0,0,147,53,8,3
486,13,0.2307692307692307,53172.0,46,2,1,0,3,0.0,0,0,144,54,3,1
192,9,0.2222222222222222,42618.0,52,3,0,1,2,0.0,0,0,139,92,8,3
63,5,0.2,56850.0,53,3,1,0,3,0.0,0,0,133,83,2,2
131,7,0.2857142857142857,38360.0,35,2,1,0,3,0.0,0,0,143,26,3,3
1157,21,0.0476190476190476,81217.0,35,2,0,1,1,0.0,0,0,142,77,1,0
982,14,0.1428571428571428,55686.0,58,2,0,1,2,0.2,0,0,147,27,4,1
973,22,0.1818181818181818,62503.0,68,2,1,0,3,0.0,0,0,147,40,5,1
6,0,0.0,4861.0,59,2,0,1,1,0.0,0,0,130,20,14,3
199,9,0.6666666666666666,35893.0,56,2,0,1,3,0.0,0,0,151,80,8,3
56,5,0.4,29440.0,64,2,1,0,4,0.0,0,0,141,95,7,2
211,9,0.7777777777777778,35688.0,51,1,1,0,5,0.0,0,0,153,94,8,2
102,6,0.1666666666666666,39435.0,51,4,1,0,3,0.0,0,0,141,16,7,2
65,5,0.2,49389.0,73,3,0,1,3,0.0,0,0,140,55,7,2
35,4,0.5,35791.0,59,3,0,1,4,0.0,0,0,144,94,8,2
1004,27,0.037037037037037,78468.0,64,2,1,0,2,0.2,0,0,133,29,4,0
38,5,0.2,25410.0,51,2,1,0,3,0.0,0,0,140,48,4,3
43,4,0.25,28320.0,74,2,1,0,3,0.0,0,0,148,68,8,2
66,6,0.5,14906.0,38,0,0,1,1,0.0,0,0,148,86,7,3
59,6,0.1666666666666666,36230.0,53,3,0,1,2,0.0,0,0,139,17,5,3
36,4,0.5,37859.0,62,2,0,1,4,0.0,0,0,148,75,8,2
274,11,0.0909090909090909,59686.0,59,2,0,1,2,0.0,0,0,135,78,4,0
311,12,0.25,45143.0,59,3,1,0,3,0.0,0,0,140,74,7,2
30,3,0.3333333333333333,34421.0,50,2,1,0,3,0.0,0,0,142,81,7,3
