,ID,Year_Birth,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
count,2240.0,2240.0,2216.0,2240.0,2240.0,2240.0,2240.0,2240.0,2240.0,2240.0,2240.0,2240.0,2240.0,2240.0,2240.0,2240.0,2240.0,2240.0,2240.0,2240.0,2240.0,2240.0,2240.0,2240.0,2240.0,2240.0
mean,5592.159821428571,1968.8058035714287,52247.25135379061,0.44419642857142855,0.50625,49.109375,303.9357142857143,26.302232142857143,166.95,37.52544642857143,27.06294642857143,44.021875,2.325,4.084821428571429,2.6620535714285714,5.790178571428571,5.316517857142857,0.07276785714285715,0.07455357142857143,0.07276785714285715,0.06428571428571428,0.013392857142857142,0.009375,3.0,11.0,0.14910714285714285
std,3246.6621975643407,11.984069456885829,25173.076660901403,0.5383980977345936,0.5445382307698758,28.962452808378206,336.5973926053718,39.77343376457855,225.7153725117536,54.62897940287807,41.280498487854935,52.16743891499733,1.932237500855979,2.778714147388102,2.9231006555397463,3.2509581456744323,2.426645009547286,0.25981306992189507,0.2627282848535613,0.25981306992189507,0.24531597433401414,0.1149756062554841,0.09639116794449755,0.0,0.0,0.35627358640847917
min,0.0,1893.0,1730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
0.1%,9.956,1909.56,3614.015,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
10%,1126.1000000000001,1952.0,24117.5,0.0,0.0,9.0,6.0,0.0,7.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
25%,2828.25,1959.0,35303.0,0.0,0.0,24.0,23.75,1.0,16.0,3.0,1.0,9.0,1.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
50%,5458.5,1970.0,51381.5,0.0,0.0,49.0,173.5,8.0,67.0,12.0,8.0,24.0,2.0,4.0,2.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
75%,8427.75,1977.0,68522.0,1.0,1.0,74.0,504.25,33.0,232.0,50.0,33.0,56.0,3.0,6.0,4.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
90%,10203.400000000001,1984.0,79844.0,1.0,1.0,89.0,822.1000000000001,83.0,499.0,120.0,89.0,122.0,5.0,8.0,7.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0
99.9%,11185.566000000003,1995.0,160142.95000000094,2.0,2.0,99.0,1490.5660000000025,196.28300000000127,1618.4150000000063,258.0,197.76100000000042,284.06900000001224,15.0,24.522000000000844,26.566000000002532,13.0,19.761000000000422,1.0,1.0,1.0,1.0,1.0,1.0,3.0,11.0,1.0
max,11191.0,1996.0,666666.0,2.0,2.0,99.0,1493.0,199.0,1725.0,259.0,263.0,362.0,15.0,27.0,28.0,13.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,11.0,1.0
count below 0.001,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
count above 0.999,3.0,2.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
