Total_Spending,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total_Purchase_Num,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Discount_Dependency,Income,Age,Education,Marital_Merged_Couples,Marital_Merged_Single_Household,Kidhome,Teenhome,Total_Household_Size,Total_Children,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,Campaign_Response_Rate,Complain,Loyalty_Months,Recency,NumWebVisitsMonth,ID
1617,635,88,546,172,88,88,22,8,10,4,0.13636363636363635,58138.0,67,2,0,1,0,0,1,0,0,0,0,0,0,1,0.16666666666666666,0,152,58,7,5524
27,11,1,6,2,1,6,4,1,1,2,0.5,46344.0,70,2,0,1,1,1,3,2,0,0,0,0,0,0,0.0,0,134,38,5,2174
776,426,49,127,111,21,42,20,8,2,10,0.05,71613.0,59,2,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0,140,26,4,4141
53,11,4,20,10,3,5,6,2,0,4,0.3333333333333333,26646.0,40,2,1,0,1,0,3,1,0,0,0,0,0,0,0.0,0,135,26,6,6182
422,173,43,118,46,27,15,14,5,3,6,0.35714285714285715,58293.0,43,4,1,0,1,0,3,1,0,0,0,0,0,0,0.0,0,135,94,5,5324
716,520,42,98,0,42,14,20,6,4,10,0.1,62513.0,57,3,1,0,0,1,3,1,0,0,0,0,0,0,0.0,0,140,16,6,7446
590,235,65,164,50,49,27,17,7,3,7,0.23529411764705882,55635.0,53,2,0,1,0,1,2,1,0,0,0,0,0,0,0.0,0,150,34,6,965
169,76,10,56,3,1,23,8,4,0,4,0.25,33454.0,39,4,1,0,1,0,3,1,0,0,0,0,0,0,0.0,0,144,32,8,6177
46,14,0,24,3,3,2,5,3,0,2,0.2,30351.0,50,4,1,0,1,0,3,1,0,0,0,0,0,1,0.16666666666666666,0,143,19,9,4855
61,6,16,11,11,1,16,5,2,0,3,0.2,7500.0,48,0,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0,150,59,8,387
1102,194,61,480,225,112,30,15,3,4,8,0.06666666666666667,63033.0,65,2,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0,138,82,2,2125
310,233,2,53,3,5,14,12,6,1,5,0.25,59354.0,72,3,0,1,1,1,3,2,0,0,0,0,0,0,0.0,0,138,53,6,8180
46,3,14,17,6,1,5,4,1,0,3,0.25,17323.0,37,2,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0,151,38,8,2569
1315,1006,22,115,59,68,45,25,7,6,12,0.04,82800.0,78,4,0,1,0,0,1,0,1,0,0,0,1,1,0.5,0,149,23,3,2114
96,53,5,19,2,13,4,6,3,0,3,0.5,41850.0,44,2,1,0,1,1,4,2,0,0,0,0,0,0,0.0,0,148,51,8,9736
317,84,5,38,150,12,28,11,4,1,6,0.18181818181818182,37760.0,78,2,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0,152,20,7,4939
1782,1012,80,498,0,16,176,24,11,4,9,0.08333333333333333,76995.0,75,3,1,0,0,1,3,1,1,0,0,0,0,0,0.16666666666666666,0,145,91,5,6565
133,4,17,19,30,24,39,6,2,1,3,0.3333333333333333,33812.0,39,1,0,1,1,0,2,1,0,0,0,0,0,0,0.0,0,150,86,6,2278
316,86,2,73,69,38,48,11,4,2,5,0.09090909090909091,37040.0,42,2,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0,153,41,8,9360
1730,1,1,1725,1,1,1,28,0,28,0,0.5357142857142857,2447.0,45,2,1,0,1,0,3,1,0,0,0,0,0,0,0.0,0,148,42,1,5376
972,867,0,86,0,0,19,14,2,3,9,0.21428571428571427,58607.0,75,4,1,0,0,1,3,1,0,0,0,1,0,0,0.16666666666666666,0,149,63,8,1993
544,384,0,102,21,32,5,17,6,2,9,0.17647058823529413,65324.0,70,4,1,0,0,1,3,1,0,0,0,0,0,0,0.0,0,136,0,4,4047
444,270,3,27,39,6,99,13,7,1,5,0.5384615384615384,40689.0,73,2,1,0,0,1,3,1,0,0,0,0,0,0,0.0,0,146,69,8,1409
75,6,4,25,15,12,13,6,2,1,3,0.3333333333333333,18589.0,55,2,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0,148,89,7,7892
257,173,4,30,3,6,41,10,5,1,4,0.4,53359.0,48,2,1,0,1,1,4,2,0,0,0,0,0,0,0.0,0,143,4,7,2404
131,36,2,42,20,21,10,7,2,1,4,0.2857142857142857,38360.0,35,2,1,0,1,0,3,1,0,0,0,0,0,0,0.0,0,143,26,3,9422
1672,684,100,801,21,66,0,25,6,9,10,0.04,84618.0,59,4,1,0,0,0,2,0,0,0,0,0,1,0,0.16666666666666666,0,137,96,2,1966
30,8,4,10,2,2,4,6,3,0,3,0.3333333333333333,10979.0,35,3,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0,131,34,5,6864
318,112,17,44,34,22,89,10,2,5,3,0.1,38620.0,61,3,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0,144,56,3,3033
120,110,0,5,2,0,3,7,2,1,4,0.2857142857142857,40548.0,54,2,1,0,0,1,3,1,0,0,0,1,0,0,0.16666666666666666,0,151,31,5,5710
302,96,12,96,33,22,43,11,4,1,6,0.5454545454545454,46610.0,72,4,0,1,0,2,3,2,0,0,0,0,0,1,0.16666666666666666,0,150,8,6,7373
1196,482,34,471,119,68,22,17,3,5,9,0.058823529411764705,68657.0,78,3,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0,147,4,7,8755
65,40,0,19,2,1,3,5,2,0,3,0.2,49389.0,73,3,0,1,1,1,3,2,0,0,0,0,0,0,0.0,0,140,55,7,10738
913,702,17,151,0,8,35,23,5,6,12,0.21739130434782608,67353.0,54,4,1,0,0,1,3,1,0,0,0,0,0,0,0.0,0,136,37,2,4339
81,6,3,14,15,7,36,6,3,1,2,0.5,23718.0,48,1,1,0,1,0,3,1,0,0,0,0,0,0,0.0,0,140,76,7,10755
67,55,0,6,2,0,4,5,1,1,3,0.4,42429.0,51,2,0,1,0,1,2,1,0,0,0,0,0,0,0.0,0,135,99,5,8595
902,437,8,206,160,49,42,22,7,10,5,0.09090909090909091,48948.0,81,4,0,1,0,0,1,0,0,0,1,0,0,1,0.3333333333333333,0,147,53,6,2968
1395,421,76,536,82,178,102,19,8,6,5,0.10526315789473684,80011.0,44,2,1,0,0,1,3,1,0,0,0,0,0,0,0.0,0,144,3,4,8601
53,13,1,29,3,0,7,5,2,0,3,0.4,20559.0,39,3,1,0,1,0,3,1,0,0,0,0,0,0,0.0,0,146,88,8,503
22,9,0,6,3,1,3,3,0,0,3,0.3333333333333333,21994.0,67,2,1,0,0,1,3,1,0,0,0,0,0,0,0.0,0,148,4,5,8430
31,3,1,10,3,2,12,5,2,0,3,0.6,7500.0,49,3,1,0,1,0,3,1,0,0,0,0,0,0,0.0,0,139,19,5,2139
984,123,164,266,227,30,174,15,2,4,9,0.06666666666666667,79941.0,48,2,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0,130,72,1,1371
122,3,18,14,15,22,50,7,3,1,3,0.42857142857142855,7500.0,28,1,1,0,0,0,2,0,0,0,0,0,0,1,0.16666666666666666,0,150,24,9,9909
55,13,6,15,3,5,13,4,2,0,2,0.25,41728.0,56,2,1,0,1,0,3,1,0,0,0,0,0,0,0.0,0,143,92,10,7286
1319,826,50,317,50,38,38,19,5,2,12,0.47368421052631576,72550.0,70,4,1,0,1,1,4,2,0,0,0,0,0,0,0.0,0,150,39,8,6566
507,245,19,125,37,67,14,16,4,2,10,0.0625,65486.0,67,2,0,1,0,1,2,1,0,0,0,0,0,0,0.0,0,132,29,2,8614
1693,650,37,780,27,167,32,28,6,9,13,0.03571428571428571,79143.0,60,3,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0,153,2,3,4114
72,12,6,20,30,1,3,5,2,0,3,0.4,35790.0,47,2,0,1,1,0,2,1,0,0,0,0,0,0,0.0,0,148,54,7,1331
1617,510,120,550,156,40,241,20,4,9,7,0.05,82582.0,47,2,0,1,0,0,1,0,1,0,1,0,0,1,0.5,0,131,54,1,2225
606,328,9,124,12,24,109,16,4,2,10,0.4375,66373.0,46,2,1,0,1,1,4,2,0,0,0,0,0,0,0.0,0,143,57,3,9381
1957,984,51,432,180,120,190,26,3,10,13,0.038461538461538464,82384.0,69,3,1,0,0,0,2,0,0,0,0,0,1,1,0.3333333333333333,0,150,55,1,6260
1093,295,35,482,121,120,40,20,5,5,10,0.05,70287.0,58,2,0,1,0,0,1,0,0,0,0,0,0,1,0.16666666666666666,0,145,30,3,10383
29,13,0,8,2,1,5,5,1,0,4,0.2,27938.0,36,2,0,1,1,0,2,1,0,0,0,0,0,0,0.0,0,132,31,3,7437
518,447,0,28,0,0,43,16,8,2,6,0.1875,55954.0,56,4,1,0,0,1,3,1,0,0,0,0,0,0,0.0,0,134,63,7,8375
1438,712,26,538,69,13,80,20,3,6,11,0.05,75777.0,42,3,0,1,0,0,1,0,0,0,0,1,1,1,0.5,0,142,12,1,6853
612,452,18,102,16,18,6,18,4,2,12,0.2222222222222222,66653.0,49,2,1,0,1,1,4,2,0,0,0,0,0,0,0.0,0,152,18,3,3076
884,523,7,134,37,14,169,20,8,2,10,0.2,61823.0,72,2,0,1,0,1,2,1,0,0,0,0,0,0,0.0,0,147,26,7,1012
606,546,0,48,0,6,6,18,7,3,8,0.05555555555555555,67680.0,73,4,0,1,0,1,2,1,0,0,0,0,0,0,0.0,0,143,8,5,6518
1076,398,40,367,119,122,30,15,7,4,4,0.06666666666666667,70666.0,76,2,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0,137,29,4,4137
34,1,3,6,3,6,15,4,1,1,2,0.25,25721.0,53,2,1,0,1,0,3,1,0,0,0,0,0,1,0.16666666666666666,0,144,75,7,8082
11,10,0,1,0,0,0,3,1,0,2,0.3333333333333333,32474.0,57,2,1,0,1,1,4,2,0,0,0,0,0,0,0.0,0,132,0,7,1386
1274,688,14,309,201,24,38,31,11,10,10,0.03225806451612903,88194.0,45,1,0,1,0,1,2,1,1,0,1,0,0,1,0.5,0,133,19,5,9369
653,247,49,159,7,82,109,17,5,2,10,0.058823529411764705,69096.0,66,2,1,0,0,1,3,1,0,0,0,0,0,0,0.0,0,139,4,4,4477
1562,856,59,487,58,29,73,12,2,5,5,0.5833333333333334,74854.0,54,2,1,0,1,2,5,3,0,0,0,0,0,0,0.0,0,145,90,5,1357
1253,496,36,460,189,60,12,18,4,8,6,0.16666666666666666,66991.0,70,3,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0,152,1,3,1402
863,258,107,291,84,37,86,26,10,3,13,0.15384615384615385,65031.0,65,2,1,0,0,1,3,1,0,0,0,0,0,0,0.0,0,146,29,7,6312
